tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"@seriousfunnyguy Assuming that he meant 72000 per annum.
What he actually means is that #Congress will collect hafta/protection money from all those who earn between 6000-12000 per month, so that nobody gets away with more than 72000 p.a.
Socialism!!",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",MadCapProf,4374,301,24126,184,4,"New Delhi, India",Wed Apr 24 21:12:41 +0000 2019,
"#Bresilien #Brazil #Bribre #Congress #plague #reform_pensions

Bolsonaro Government effectively bribes congress to advance Wall Street's cherished pension ""reforms"" in Brazil. 

https://t.co/F6z28Jv46e …",DE,"Berlin, Germany","[[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]]",TrueTrapper,434,176,2354,395,9,"Berlin, Germany",Wed Apr 24 20:50:39 +0000 2019,
"#congress is  growing seed of #bhakt #भक्त
We are growing seed of #bhakti #भाक्ति
#NAMO",IN,"Ranchi, India","[[[84.869323, 23.00583], [85.902043, 23.00583], [85.902043, 23.715039], [84.869323, 23.715039]]]",Iisvishwajeet,1,0,31,50,0,Kasem Bundit University,Wed Apr 24 20:10:45 +0000 2019,
"Are You kidding Me? @HillaryClinton actually had the nerve to comment on the #MuellerReport and #Impeachment.  I can't believe that woman has the audacity to comment on anything anymore.  #Congress, Put Her where She belongs &amp; don't pretend You don't know!",US,"Owatonna, MN","[[[-93.2757283, 44.059273], [-93.1767937, 44.059273], [-93.1767937, 44.124187], [-93.2757283, 44.124187]]]",a_nosbush,18013,3069,27741,4085,11,,Wed Apr 24 19:56:55 +0000 2019,
"@SudheenKulkarni 🤣🤣🤣 u r lucky. It's not an presidential elections. Otherwise u would have been royally %&amp;#@*/
#Modi is symbol of a person who is atleast trying to clean the system. Whereas #Congress has been the symbol of lootmaar for all these yrs.
Y do u pretend u don't know anything?
👏🏻👏🏻",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",manojrsingh,504,140,398,431,0,Mumbai,Wed Apr 24 18:47:10 +0000 2019,
#Five #SupremeCourtJustices are than likely to #Amend the #Constitution Allowing the #CitizenQuesstion to #Remain on the 2020 #Census #Congress and the #Citizens have the #Authorty to #Amend #NotSCOTUS #IMPEACH these #Five if they #Defy their #Oath to #Protect the #Constitution https://t.co/3NbuLyVw6K,US,"Phoenix, AZ","[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",scotmacG,0,1,79,5,0,,Wed Apr 24 18:27:47 +0000 2019,
"@realDonaldTrump this is what’s gonna happen to you if you keep antagonizing #Congress with your deeds and tweets.
#DogAntagonizesPorcupine
#VoteBlueSaidARepublican 
#RepublicansForImpeachment https://t.co/qrllckS9IW",US,"California, USA","[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",FlorenceLake,28034,578,5143,802,1,"California, USA",Wed Apr 24 18:23:56 +0000 2019,
"Navigating #Congress for a new staffer can often feel like traversing a jungle🌴🦁 What would make this journey a little easier? Our Research Assistant, Oren Depp, recaps advice from seasoned staff/experts at our latest New Member Training event: https://t.co/dBavuXHp0e https://t.co/ZVPdtxJMdB",US,"Washington, DC","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",congressfdn,497,2061,1652,1348,92,"Washington, DC",Wed Apr 24 17:39:52 +0000 2019,
"If the @GOP members of #Congress don't push this, nothing will happen. I'm guessing nothing will happen. I am so sick of the useless skin and bones that claim to be representatives of the people. Even @POTUS has to fight his own party. #TermLimits #MAGA
https://t.co/kiigteiwET",US,"Missouri, USA","[[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]]",Nakko60,9066,5473,33038,5501,34,"Missouri, USA",Wed Apr 24 17:30:36 +0000 2019,
"@realDonaldTrump Why are you trying to #STOP the 
former #WhiteHouse counsel from testifying 
now?

He's not the only former #Aide you want to stop
from #Testifying before OUR #Congress.

#YouScaredBro? https://t.co/IzJRLZd44L",US,"Milwaukee, WI","[[[-88.070827, 42.920822], [-87.863758, 42.920822], [-87.863758, 43.1926225], [-88.070827, 43.1926225]]]",LetHumanismRing,6651,2195,968780,1182,1377,Eppur si muove-Keith Law,Wed Apr 24 16:46:57 +0000 2019,
"{2/2} ... members of #Congress to finally lead them in a partial bipartisan manner to articles of impeachment, never enacted due to Nixon’s ultimate resignation. Who among today’s #GOP has character enough, and is principaled enough, to investigate cooperatively? /end",US,"Oregon, USA","[[[-124.703541, 41.991795], [-116.463262, 41.991795], [-116.463262, 46.2990779], [-124.703541, 46.2990779]]]",paul_ruscher,43877,1660,32109,4103,83,"Eugene, OR",Wed Apr 24 16:43:38 +0000 2019,
"If Life gives you a singh

be a Deepender not abhay.

@DeependerSHooda
#rohtak
#FekuModi
#BJP_भगाओ_देश_बचाओ 
#Congress",IN,"karnal, India","[[[76.67692, 29.440689], [77.221927, 29.440689], [77.221927, 29.99079], [76.67692, 29.99079]]]",deependerHteam,761,34,461,278,0,कुरुक्षेत्र,Wed Apr 24 16:39:50 +0000 2019,
"#Congress leader ship...
.During press conference   at Congress office shimla. 
23.4 .2019. https://t.co/Incw9o7q7E",IN,"Himachal Pradesh, India","[[[75.593644, 30.379625], [79.000389, 30.379625], [79.000389, 33.254896], [75.593644, 33.254896]]]",PalYogiraj,25754,790,19745,2107,5,"हिमाचल प्रदेश, भारत",Wed Apr 24 16:13:11 +0000 2019,
"#Congress. Trump’s real motive is to #obstruct &amp; #stall the congressional investigations.""

""Trump isn’t going to win this fight, but he is hoping to keep the investigations tied up in court long enough to get him thru the 2020 election, which is not the behavior of an...",US,"Eugene, OR","[[[-123.208615, 43.988281], [-123.0361879, 43.988281], [-123.0361879, 44.142961], [-123.208615, 44.142961]]]",Kegan05,307939,15377,410182,14657,482,NorthWest USA,Wed Apr 24 16:07:44 +0000 2019,
"@realDonaldTrump @POTUS "" I Told You So, Everything I Said About @realDonaldTrump Turns Out To Be Trues According To The #MuellerReport &amp; Now It Is @DNC #Congress Turn https://t.co/b1tRlgtSlc",US,"Palm Springs, CA","[[[-116.5677878, 33.7794258], [-116.466791, 33.7794258], [-116.466791, 33.8707332], [-116.5677878, 33.8707332]]]",DocHollywoodM,50544,1633,19253,1694,24,"California, USA",Wed Apr 24 15:18:27 +0000 2019,
@realDonaldTrump You won nothing; have someone read the #MuellerReport to you @realDonaldTrump and #Congress has done much Remember your two vetos and countless reneging?,US,"Buffalo, NY","[[[-78.912276, 42.826008], [-78.79485, 42.826008], [-78.79485, 42.966451], [-78.912276, 42.966451]]]",haldonahue,68111,12617,200340,12738,288,"Scranton, PA, USA",Wed Apr 24 14:45:30 +0000 2019,
