tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"Our PM @narendramodi is the most loved PM. People of all caste, creed and gender... support him openly. Here, the woman is not well but still she came to see him in such big crowd. Rahul or Akhilesh can never get such support. #BJP
#NaMoAgain #NaMoForNewIndia https://t.co/dOsIOCjKBF",IN,"Andhra Pradesh, India","[[[76.76081, 12.622344], [84.768782, 12.622344], [84.768782, 19.165472], [76.76081, 19.165472]]]",KingsMaheshBjp,2516,127,1256,65,0,India,Fri May 03 15:47:22 +0000 2019,
"Dnt knw wt u guys are doing to SAVE them. It would hv been better if u guys spend more time on Saving @mvmeet &amp;others thn trending #EmergencyInKarnataka @BJP4Karnataka @CTRavi_BJP 
if u guys can't handle these things  thn obba normal #bjp karyakatana gathi enu
#shameonKUMARASWAMY",IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",santhosh3624,23797,120,1851,451,1,"Bengaluru, Karnataka",Fri May 03 15:46:21 +0000 2019,
"@htTweets @Uraghuvanshi Then what abt congress promises  ?? 
What abt 55 years  promises ?? 
What abt poverty promises over 55 years ?? 
What abt 55 years of So called ""ANYAY ""  of congress ?? #Congress #RahulGandhi #PriyankaGandhi #BJP",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",Pradeep2012Soni,601,3,1008,33,0,"Punjab, India",Fri May 03 14:17:42 +0000 2019,
"@BJP4India #Vulgarism is an integral part of #BJP.
#ShameOnBJP
Kitne Tejwashi log hai BJP me. #DNAofBJP is so ugly.
#YouTube link:
https://t.co/41xrt0nOmq",IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",KOLLEO,25387,2955,28445,729,25,"Kolkata,India.",Fri May 03 13:11:13 +0000 2019,
"When Pakistan removes a minister for anti minority remarks, we have ministers who support those who lynched minorities..India is going much worker under #Modi n #BJP rule. Minorities don't get justice here..@SushmaSwaraj pls take a report from him on this issue..#DontVoteForModi https://t.co/ijWEZVzMXE",IN,"Guruvayoor-Manattala-Perakam-Edakkazhiyur, India","[[[75.954762, 10.343446], [76.136058, 10.343446], [76.136058, 10.695807], [75.954762, 10.695807]]]",riyazn123,4222,127,6953,861,24,,Fri May 03 10:59:56 +0000 2019,
"@Bholenath @squintneon @Javedakhtarjadu U r correct.. there r many instances wer #BJP workers used it to create communal tensions n for harassing women

https://t.co/LT4kDOvpz7",IN,"Guruvayoor-Manattala-Perakam-Edakkazhiyur, India","[[[75.954762, 10.343446], [76.136058, 10.343446], [76.136058, 10.695807], [75.954762, 10.695807]]]",riyazn123,4222,127,6953,861,24,,Fri May 03 10:56:04 +0000 2019,
@iamsunnydeol pajji during his bjp campaign love u pajji #BJP #LokSabhaElections2019 #sunnydeoljoinsbjp #Vote4BJP @aapkadharam  sunny pajji we are with you ❤️❤️@thedeol https://t.co/Apo6uNNMs1,IN,"Pathankot, India","[[[75.3272458, 32.0814395], [75.9504593, 32.0814395], [75.9504593, 32.5763957], [75.3272458, 32.5763957]]]",parakh_7,910,269,130,62,1,india,Fri May 03 10:46:21 +0000 2019,
"Bjp sucks 😒😒 every where 
#bjp #NarendraModi #chowkidarnarendramodi https://t.co/hrGHq9gzFT",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",akshayraina00,17,1,7,9,0,,Fri May 03 10:26:50 +0000 2019,
"AAP Gandhi Nagar MLA joins BJP https://t.co/u8S70hxn5U
Turncoats like #anilbajpai do not deserve a place in #AAP , good riddance. #BJP is that much poorer.",IN,"Coimbatore, India","[[[76.657719, 10.80795], [77.100465, 10.80795], [77.100465, 11.237298], [76.657719, 11.237298]]]",Sjayaraj1999,5,7,1723,8,0,"Coimbatore, India",Fri May 03 09:58:03 +0000 2019,
"Met with various Vendors &amp; Businessman across the local Markets of #Amethi
Urged them to vote for #BJP candidate Smt @smritiirani ji.
Public Response was graceful &amp; clearly indicating that ""अबकी बार, अमेठी हमार""!
#Smriti4Amethi
#AmethiWithSmritiDi
#NaMoAgain2019 
#AyegaToModiHi https://t.co/T9sBnFCdJK",IN,"Amethi, India","[[[81.792092, 26.147668], [81.818739, 26.147668], [81.818739, 26.164344], [81.792092, 26.164344]]]",rishikant1994,9040,529,4984,277,2,New Delhi,Fri May 03 09:53:55 +0000 2019,
